,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Title,Author,Author_short,Year,Country,Outlet,Type of resource allocation,Resource Durability,Type resources,Single/multiple?,Allocation capability,Goal Type,Goal,Ressource attribute types,Resource attributes,Task attribute type,Task attributes,Resource allocation technique type,Resource allocation technique,PM Type,,Process model type,Role of PM/Process data,Input data,Planning at instance/task/stage level,Evaluation Type,Evaluation,Prototypical implementation type,Prototypical implementation,Short describtion of paper,LatexTablecommant,LatexTablecommantshort
2028,Resource Planning for Massive Number of Process Instances,Jiajie Xu; Chengfei Liu; Xiaohui Zhao,\citet{xu2009resource},2009,Australia,On the Move to Meaningful Internet Systems: OTM 2009,Push,durable,human and machines,Multiple,1-to-many,Process-oriented,Minimize process cost,"Role, Workload","role, workload",Req. Role,role,Rule,Rule,Enhanced PM,PM,Enhanced PM,Input,Rule: process with activities and resource information; additional function defintions,set of instances,(Comp.) sim. experiments,Simulation experiments,pseudocode,no (only pseudocode),"very theoretical approach; focuses on resource allocation, has assumptions on resource capabilities",\citet{xu2009resource}&2009&Australia&1-to-many&Minimize process cost&PM&Input&Multiple&Rule&(Comp.) sim. experiments&pseudocode\\,\citet{xu2009resource}&2009&1-to-many&Minimize process cost&Rule&Multiple\\
2024,An adaptive work distribution mechanism based on reinforcement learning ,"Huang, Zhengxing; van der Aalst, W. M. P.; Lu, Xudong; Duan, Huilong",\citet{huang2010adaptive},2010,NL,EXPERT SYSTEMS WITH APPLICATIONS,both,durable,general,Single,1-to-1,No specific goal,Any,"Expertise, Preference, Previous performance","competence and preference for tasks, execution historz",Any,process conditions,Machine Learning,Reinforcement learning: Policy selection by reinforcement learning,Workflow net,PM,workflow net,Input,"ML: Current process conditions; business process, resources, goals",enabled task,(Comp.) experiments,Simulation experiment with real-world data,available,ProM plugin,Paper wants to learn most suitable policy for a certain process condition based on reinforcment learning,\citet{huang2010adaptive}&2010&NL&1-to-1&Any&PM&Input&Single&Machine Learning&(Comp.) experiments&available\\,\citet{huang2010adaptive}&2010&1-to-1&Any&Machine Learning&Single\\
800,Optimizing the Composition of a Resource Service Chain With Interorganizational Collaboration,"Li, H.; Liang, M.; He, T.",,2017,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Optimizing Resource Conflicts in Workflow Management Systems,Pavlos Delias ; Anastasios Doulamis ; Nikolaos Doulamis ; Nikolaos Matsatsinis,\citet{delias2010optimizing},2010,Greece, IEEE Transactions on Knowledge and Data Engineering ,Push,durable,human and machines,Multiple,1-to-1,Resource-oriented,Balance workload,Role,type,Estimated performance,Duration,Exact Algorithm,"Transformation of the continuous optimization problem into a discrete one, discrete approximation, eigenvalue decomposition and k-means clustering",Other,PM,XPDL,Prep.,Enhanced PM: Workflow model with calculated time plans,set of instances,(Comp.) sim. experiments,Simulation experiments,not accessible,not publicly available,"Paper proposes to first schedule a set of incoming process instance and assign tasks to resources, resource brokers balance then the workload of the resources",\citet{delias2010optimizing}&2010&Greece&1-to-1&Balance workload&PM&Prep.&Multiple&Exact Algorithm&(Comp.) sim. experiments&not accessible\\,\citet{delias2010optimizing}&2010&1-to-1&Balance workload&Multiple&Exact Algorithm\\
2023,Mining association rules to support resource allocation in business process management,"Huang, Zhengxing; Lu, Xudong ; Duan, Huilong",\citet{huang2011mining},2011,China,EXPERT SYSTEMS WITH APPLICATIONS,Push,durable,general,Single,1-to-1,No specific goal,Unspecified goal,Previous performance,execution history (event log),Estimated performance,"start time, completion time, execution history (event log)",Mined Rule,Association rules mining,Process data,PD,Process data (Event log),Input,Event log,enabled task,Experiments + Case study,"Comparative experiments with real-world data, case study","not acc., pseudoc.","Weka, not publicly available but pseudocode",Paper wants to identify advance resource allocation rules based on association mining from a hiostoric event log,"\citet{huang2011mining}&2011&China&1-to-1&Unspecified goal&PD&Input&Single&Mined Rule&Experiments + Case study&not acc., pseudoc.\\",\citet{huang2011mining}&2011&1-to-1&Unspecified goal&Mined Rule&Single\\
890,Automated Planning for Business Process Management,"Marrella, Andrea",,{79-98},no,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,Reinforcement learning based resource allocation in business process management,"Huang, Zhengxing; van der Aalst, W. M. P.; Lu, Xudong ; Duan, Huilong ",\citet{huang2011reinforcement},2011,China,DATA & KNOWLEDGE ENGINEERING,Push,durable,general,Multiple,1-to-1,Process-oriented,Minimize process cost,Previous performance,cost,,-,Machine Learning,Reinforcement learning: Q-values based queuing ,General PM,PM,General PM,Prep.,Stochastic model: Markov decision process,enabled task,(Comp.) experiments,Comparative simulation experiments with real-world data,available,ProM plugin,Resource allocation optimization problem is modeled as Markov decision processes and solved using reinforcement learning,\citet{huang2011reinforcement}&2011&China&1-to-1&Minimize process cost&PM&Prep.&Multiple&Machine Learning&(Comp.) experiments&available\\,\citet{huang2011reinforcement}&2011&1-to-1&Minimize process cost&Multiple&Machine Learning\\
671,A framework for simulation-based optimization of business process models,"Kamrani, Farzad; Ayani, Rassul; Moradi, Farshad",\citet{kamrani2012framework},2011,Sweden,{SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL},Push,durable,human,Multiple,1-to-many,Process-oriented,Minimize process cost,Expertise,capabilities,"Req. Expertise, Req. Amount, Estimated performance","importance of capabilities, nr of times to be executed, duration",Heuristic,Heuristic,BPMN,PM,Enahnced BPMN diagram,Input,Heuristic: Enahnced BPMN diagram,set of planned task,(Comp.) sim. experiments,Simulation experiments,pseudocode,no,"This paper describes the allocation from an OR perspective, assignment algorithm. Distinguishes between assignment-independence and assignment dependence",\citet{kamrani2012framework}&2011&Sweden&1-to-many&Minimize process cost&PM&Input&Multiple&Heuristic&(Comp.) sim. experiments&pseudocode\\,\citet{kamrani2012framework}&2011&1-to-many&Minimize process cost&Multiple&Heuristic\\
587,A Task Operation Model for Resource Allocation Optimization in Business Process Management,"Huang, Z.; Lu, X.; Duan, H.",\citet{huang2012task},2012,China,"IEEE Transactions on Systems, Man, and Cybernetics - Part A: Systems and Humans",Push,durable,human and machines,Multiple,1-to-1,Process-oriented,Minimize process cost,"Previous performance, Workload","cost, availability",Req. Role,resources,Metaheuristic,Metaheuristic: Ant Colony Optimization,Enhanced PM,PM,Enhanced PM,Prep.,Enhanced PM: Task Operation Model,set of instances,(Comp.) sim. experiments,Comparative sim. experiments,"not acc., pseudoc.","not publicly available, but pseudocode","Based on a process model with resource and data information, a TOM is generated, based on which the optimal path is identified (different resource and activity combinations)","\citet{huang2012task}&2012&China&1-to-1&Minimize process cost&PM&Prep.&Multiple&Metaheuristic&(Comp.) sim. experiments&not acc., pseudoc.\\",\citet{huang2012task}&2012&1-to-1&Minimize process cost&Metaheuristic&Multiple\\
1187,Mining team compositions for collaborative work in business processes,"Schoenig, Stefan; Cabanillas, Cristina; Di Ciccio, Claudio; Jablonski, Stefan; Mendling, Jan",,2018,no,,Push,,human,,N-1,,Improved process performance,,,,,,Mining resource compostions,,,Declarative PM,,"Event log, organisational model",,,Case study,,not publicly available,,,
588,Resource behavior measure and application in business process management,"Huang, Zhengxing; Lu, Xudong; Duan, Huilong",\citet{huang2012resource},2012,China,{EXPERT SYSTEMS WITH APPLICATIONS},Pull,durable,human,Single,1-to-1,Process-oriented,Find most qual. res.,"Previous performance, Workload","cost, availability",Estimated performance,"start time, completion time",Rule,Rule,Process data,PD,Process data (Event log),Prep.,Characteristics of resources,enabled task,Case study,Case study,available,ProM plugin,"Paper describes the calculation of different resource measures (availability, preferences, competence, and cooperation) from event log and use it for making resource allocation recommondations with the help of a rule (Note FS: It only uses preference, availability and competence meassure for the ressource allocation recommendation)",\citet{huang2012resource}&2012&China&1-to-1&Find most qual. res.&PD&Prep.&Single&Rule&Case study&available\\,\citet{huang2012resource}&2012&1-to-1&Find most qual. res.&Single&Rule\\
827,Mining event logs to support workflow resource allocation,"Liu, Tingyu; Cheng, Yalong; Ni, Zhonghua",\citet{liu2012mining},2012,China,{KNOWLEDGE-BASED SYSTEMS},Push,durable,human,Multiple,1-to-1,Process-oriented,Find most qual. res.,Previous performance,previous executions (event log),Estimated performance,previous executions  (event log),Mined Rule,Association rules mining,Process data,PD,Process data (Event log),Input,Event log/Workflow log,task,(Comp.) experiments,Comparative experiments with real-world data,"not acc., pseudoc.",not publicly available,"Paper suggests to provide a ressource allocation suggestion list, sorted by confidence of the estimation, to administrators, who can then make informed decisions. To do so, they mine resource focused association rules, filter them, annotate for negative correlations and sort them based on confidence.","\citet{liu2012mining}&2012&China&1-to-1&Find most qual. res.&PD&Input&Multiple&Mined Rule&(Comp.) experiments&not acc., pseudoc.\\",\citet{liu2012mining}&2012&1-to-1&Find most qual. res.&Mined Rule&Multiple\\
2000,Planning and Scheduling of Business Processes in Run-Time: A Repair Planning Example,"Barba, Irene; Del Valle, Carmelo ",,2011,no,,Push,,general,,N-1,,Multi-objective (time or costs),,"capacity, shareable/non-shareable",,"duration, dependency",,AI planning and scheduling,,,And/Or graph,,Enhanced And/Or graph and run time information,,,no,,no,"paper proposes approach to do planning and scheduling of task with AI techniques, and replanning during execution",,
2049,Optimal Resource Assignment in Workflows for Maximizing Cooperation,Akhil Kumar; R.M. Dijkman; Minseok Song,\citet{kumar2013optimal},2013,USA,BPM 2013: Business Process Management,Push,durable,human,Multiple,1-to-1,No specific goal,Any,"Role, Workload, Social context, Previous performance","availability, cooperation needed, execution history (to learn compatability matrix)","Req. Expertise, Estimated performance","can do a task, execution history (to learn compatability matrix)",Heuristic,Interger Linear Program solved with Greedy Heuristic,Process data,PD,Process data (Event log),Prep.,"Characteristics of resources: Cooperations matrix, compatibility, cando matrix",set of activities,Case study,case study,"not acc., pseudoc.","Python, not publicly avilable",Paper proposes an approach to identify compatible teams which perform the work optimal together,"\citet{kumar2013optimal}&2013&USA&1-to-1&Any&PD&Prep.&Multiple&Heuristic&Case study&not acc., pseudoc.\\",\citet{kumar2013optimal}&2013&1-to-1&Any&Heuristic&Multiple\\
1442,Proactive virtualized resource management for service workflows in the cloud,"Wei, Yi; Blake, M. Brian",,2013,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Using a temporal constraint network for business process execution,Ruopeng Lu; Shazia Sadiq; Vineet Padmanabhan; Guido Governatori,,#N/A,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,User recommendations for the optimized execution of business processes,"Barba, Irene; Weber, Barbara; Del Valle, Carmelo; Jimenez-Ramirez, Andres",\citet{barba2013user},2013,Spain,{DATA \& KNOWLEDGE ENGINEERING},Pull,durable,human,Single,1-to-1,Resource-oriented,Optimize worklist,Workload,resource availability,Estimated performance,task duration,Logic Programming,Constraint programming,Declarative model,PM,Declarative PM,Prep.,"Enhanced PM: Declarative model, resources, estimates and run-time information",process instance change,(Comp.) sim. experiments,Simulation experiments,"not acc., pseudoc.",not anymore publicly available,Paper wants to provide knowledge worker recommondation on which tasks are most important,"\citet{barba2013user}&2013&Spain&1-to-1&Optimize worklist&PM&Prep.&Single&Logic Programming&(Comp.) sim. experiments&not acc., pseudoc.\\",\citet{barba2013user}&2013&1-to-1&Optimize worklist&Logic Programming&Single\\
2040,Priority-Based Human Resource Allocation in Business Processes,Cristina Cabanillas; José María García; Manuel Resinas; David Ruiz; Jan Mendling; Antonio Ruiz-Cortés,\citet{cabanillas2013priority},2013,Austria,ICSOC 2013: Service-Oriented Computing ,Push,durable,human,Single,1-to-1,Process-oriented,Find most qual. res.,Any,arbitrary (relevant attributes for selection critieria),Req. Role,potential performers,Heuristic,"rank ressources based on priorities, sort",Enhanced PM,PM,BPMN with RAL and SOUP,Input,"Heuristic: BPMN, RAL, SOUP",activity,No evaluation,no evaluation,available,Java Application,"Defines a modeling approach for modeling resource based preferences, preferences are quantified and evaluated by implementing a case specific eval function and compare function",\citet{cabanillas2013priority}&2013&Austria&1-to-1&Find most qual. res.&PM&Input&Single&Heuristic&No evaluation&available\\,\citet{cabanillas2013priority}&2013&1-to-1&Find most qual. res.&Heuristic&Single\\
2054,Accelerating Collaboration in Task Assignment Using a Socially Enhanced Resource Model,"Liu, Rong; Agarwal, Shivali; Sindhgatta, Renuka R.; Lee, Juhnyoung",\citet{liu2013accelerating},2013,USA,BPM 2013: Business Process Management,,durable,human,Single,1-to-many,Process-oriented,Find most qual. res.,"Expertise, social context","topics, community (influencer, key contributor, coordinator)",,characteristics (topic),Rule,Rule,Process data,PD,Process data (Event log),Prep.,Characteristics of resources,,Toy example,toy example,no implementation,no,paper assigns tasks to roles based on their expertise and role in the community based on rules,\citet{liu2013accelerating}&2013&USA&1-to-many&Find most qual. res.&PD&Prep.&Single&Rule&Toy example&no implementation\\,\citet{liu2013accelerating}&2013&1-to-many&Find most qual. res.&Rule&Single\\
1484,Incorporating structural improvement into resource allocation for business process execution planning,"Xu, Jiajie; Liu, Chengfei; Zhao, Xiaohui; Ding, Zhiming",\citet{xu2013incorporating},2013,Australia,{CONCURRENCY AND COMPUTATION-PRACTICE \& EXPERIENCE},Push,durable,human and machines,Multiple,1-to-1,Process-oriented,Minimize cycle time,"Role, Previous performance, Expertise","role, cost, time, capability/eligibility ","Req. Role, Estimated performance","role, expected execution time",Rule,Rule,General PM,PM,Process model,Input,Rule: basic allocation rule,set of activities,(Comp.) sim. experiments,Simulation experiments,"not acc., pseudoc.",not publicly available,Paper proposes basic allocation rules and adjustment rules and also involves the idea of doing process changes to improve the resource allocation,"\citet{xu2013incorporating}&2013&Australia&1-to-1&Minimize cycle time&PM&Input&Multiple&Rule&(Comp.) sim. experiments&not acc., pseudoc.\\",\citet{xu2013incorporating}&2013&1-to-1&Minimize cycle time&Rule&Multiple\\
1182,Crowdsourcing tasks to social networks in BPEL4People,"Schall, Daniel; Satzger, Benjamin; Psaier, Harald",\citet{schall2014crowdsourcing},2014,Austria,{WORLD WIDE WEB-INTERNET AND WEB INFORMATION SYSTEMS},Push,durable,human,Single,1-to-many,Process-oriented,Find most qual. res.,"Expertise, Social context","Skill level, Importance/Reputation","Req. Role, Req. Expertise, Req. performance","Assignment Regions, Capabilities/Skills (Required), Quality Expectations",Rule,Rule,Enhanced PM,PM,Enhanced BPEL4People process,Prep.,Enhanced PM: deadline and roles ,task,(Comp.) sim. experiments,Simulation experiments,"not acc., pseudoc.",not publicly available,"Build a hieracrhical (Coordinater, Supervisor, Worker) social network graph and assign skill level and reputation, match a task to those (Crowdsource) resources based on skill and quality expectation.","\citet{schall2014crowdsourcing}&2014&Austria&1-to-many&Find most qual. res.&PM&Prep.&Single&Rule&(Comp.) sim. experiments&not acc., pseudoc.\\",\citet{schall2014crowdsourcing}&2014&1-to-many&Find most qual. res.&Single&Rule\\
2014,Concurrent processes scheduling with scarce resources in small and medium enterprises,#N/A,,#N/A,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,Near-optimal dynamic priority scheduling strategy for instance-intensive business workflows in cloud computing,"Xu, Rongbin; Wang, Yeguo; Huang, Wei; Yuan, Dong; Xie, Ying; Yang, Yun",,2017,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
